author,studyID,treatment,responders,sampleSize,age,child,young,adult,elder,X.female.1.,ethnic.asian.,asian,middle.east,hispanic,white,black,condition.not.at.risk.,not.at.risk,chronic.dis,immuno,variant.wildtype.,alpha,beta,gamma,delta,omicron,platform,subgroup,ROB.low.,moderate,critical,outcome,study.type,study
"Abu Raddad, 2021",1,UNVAC,17215,34047,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-1"
"Abu Raddad, 2021",2,UNVAC,19787,39188,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,beta,0,1,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-2"
"Andrews, 2021",11,UNVAC,107,7577,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,death,CC,"Andrews, 2021-11"
"Andrews, 2022",14,UNVAC,137478,244716,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,CC,"Andrews, 2022-14"
"Bjork, 2022",36,UNVAC,4155,1414660,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Bjork, 2022-36"
"Bruxvoort, 2021a",37,UNVAC,235,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-37"
"Bruxvoort, 2021a",38,UNVAC,299,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-38"
"Bruxvoort, 2021a",40,UNVAC,57,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,gamma,0,0,1,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-40"
"Bruxvoort, 2021a",43,UNVAC,309,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Bruxvoort, 2021a-43"
"Bruxvoort, 2021a",44,UNVAC,30,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,CC,"Bruxvoort, 2021a-44"
"Bruxvoort, 2021a",45,UNVAC,235,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-45"
"Bruxvoort, 2021a",46,UNVAC,299,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-46"
"Bruxvoort, 2021a",48,UNVAC,57,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,gamma,0,0,1,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-48"
"Bruxvoort, 2021a",51,UNVAC,309,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,CC,"Bruxvoort, 2021a-51"
"Bruxvoort, 2021a",52,UNVAC,30,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,CC,"Bruxvoort, 2021a-52"
"Bruxvoort, 2021b",53,UNVAC,1144,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,PC,"Bruxvoort, 2021b-53"
"Bruxvoort, 2021b",54,UNVAC,182,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,hosp,PC,"Bruxvoort, 2021b-54"
"Bruxvoort, 2021b",55,UNVAC,25,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,death,PC,"Bruxvoort, 2021b-55"
"Bruxvoort, 2021b",56,UNVAC,1078,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,symp,PC,"Bruxvoort, 2021b-56"
"Carazo, 2021",79,UNVAC,3424,22087,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Carazo, 2021-79"
"Carazo, 2021",83,UNVAC,2813,22087,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,CC,"Carazo, 2021-83"
"Chin, 2021",88,UNVAC,12318,53415,all,all,all,all,all,all,All,NA,NA,NA,NA,NA,NA,1,0,0,overall,all,all,all,all,all,unvaccinated,,NA,NA,NA,doc-infect,RC,"Chin, 2021-88"
"Collie, 2022",89,UNVAC,5231,53371,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Collie, 2022-89"
"Ferdinands, 2022",136,UNVAC,14445,36214,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Ferdinands, 2022-136"
"Ferdinands, 2022",138,UNVAC,1890,3911,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,doc-infect,CC,"Ferdinands, 2022-138"
"Glatman-Freedman, 2021b",141,UNVAC,4709,133994,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Glatman-Freedman, 2021b-141"
"Glatman-Freedman, 2021b",142,UNVAC,2145,10586,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Glatman-Freedman, 2021b-142"
"Glatman-Freedman, 2021b",143,UNVAC,803,2024,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Glatman-Freedman, 2021b-143"
"Glatman-Freedman, 2021b",144,UNVAC,3277,65742,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Glatman-Freedman, 2021b-144"
"Glatman-Freedman, 2021b",145,UNVAC,1255,5095,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Glatman-Freedman, 2021b-145"
"Glatman-Freedman, 2021b",146,UNVAC,426,919,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Glatman-Freedman, 2021b-146"
"Glatman-Freedman, 2021b",147,UNVAC,2635,133994,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RC,"Glatman-Freedman, 2021b-147"
"Glatman-Freedman, 2021b",148,UNVAC,1590,10586,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RC,"Glatman-Freedman, 2021b-148"
"Glatman-Freedman, 2021b",149,UNVAC,627,2024,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RC,"Glatman-Freedman, 2021b-149"
"Glatman-Freedman, 2021b",150,UNVAC,1880,65742,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RC,"Glatman-Freedman, 2021b-150"
"Glatman-Freedman, 2021b",151,UNVAC,963,5095,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RC,"Glatman-Freedman, 2021b-151"
"Glatman-Freedman, 2021b",152,UNVAC,333,919,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RC,"Glatman-Freedman, 2021b-152"
"Glatman-Freedman, 2021b",153,UNVAC,819,133994,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Glatman-Freedman, 2021b-153"
"Glatman-Freedman, 2021b",154,UNVAC,721,10586,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Glatman-Freedman, 2021b-154"
"Glatman-Freedman, 2021b",155,UNVAC,394,2024,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Glatman-Freedman, 2021b-155"
"Glatman-Freedman, 2021b",156,UNVAC,440,65742,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Glatman-Freedman, 2021b-156"
"Glatman-Freedman, 2021b",157,UNVAC,370,5114,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Glatman-Freedman, 2021b-157"
"Glatman-Freedman, 2021b",158,UNVAC,191,919,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Glatman-Freedman, 2021b-158"
"Lauring, 2022",168,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-168"
"Lauring, 2022",169,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-169"
"Lauring, 2022",170,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-170"
"Lauring, 2022",171,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-171"
"Lauring, 2022",172,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-172"
"Lauring, 2022",173,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-173"
"Lauring, 2022",174,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-174"
"Lauring, 2022",175,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-175"
"Lauring, 2022",176,UNVAC,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-176"
"Lauring, 2022",177,UNVAC,76,944,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,death,CC,"Lauring, 2022-177"
"Lauring, 2022",178,UNVAC,323,2743,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,death,CC,"Lauring, 2022-178"
"Lauring, 2022",179,UNVAC,25,272,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,death,CC,"Lauring, 2022-179"
"Lauring, 2022",180,UNVAC,953,1798,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-180"
"Lauring, 2022",187,UNVAC,953,1798,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-187"
"Lauring, 2022",188,UNVAC,2871,3994,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-188"
"Lauring, 2022",195,UNVAC,2871,3991,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-195"
"Lauring, 2022",197,UNVAC,2871,3991,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,overall,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-197"
"Lauring, 2022",200,UNVAC,268,357,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,overall,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-200"
"Lauring, 2022",202,UNVAC,268,357,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,overall,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Lauring, 2022-202"
"Lopez, 2021",204,UNVAC,3657,48186,=16yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,symp,CC,"Lopez, 2021-204"
"Lopez, 2021",207,UNVAC,3656,48185,=16yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,CC,"Lopez, 2021-207"
"martinez-baz, 2021",212,UNVAC,4811,14348,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"martinez-baz, 2021",220,UNVAC,3278,14348,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,PC,"martinez-baz, 2021-220"
"Nordstrom, 2021-a",228,UNVAC,7104,842974,45-55yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Nordstrom, 2021-a-228"
"Nordstrom, 2021-b",231,UNVAC,259,60190,30-80yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,RC,"Nordstrom, 2021-b-231"
"Nordstrom, 2021-b",232,UNVAC,47,10984,30-80yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,RC,"Nordstrom, 2021-b-232"
"Nordstrom, 2021-b",233,UNVAC,323,109542,30-80yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,RC,"Nordstrom, 2021-b-233"
"Olson, 2022",234,UNVAC,139,351,12-18yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,CC,"Olson, 2022-234"
"Olson, 2022",235,UNVAC,32,244,12-18yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,CC,"Olson, 2022-235"
"Olson, 2022",236,UNVAC,139,351,12-18yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,CC,"Olson, 2022-236"
"Poukka, 2021",259,UNVAC,3874,42791,17-70yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Poukka, 2021-259"
"Powell, 2021",262,UNVAC,224265,442014,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,CC,"Powell, 2021-262"
"Powell, 2021",264,UNVAC,19983,59316,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,symp,CC,"Powell, 2021-264"
"Powell, 2021",266,UNVAC,46952,88982,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,CC,"Powell, 2021-266"
"Powell, 2021",268,UNVAC,8592,18742,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,symp,CC,"Powell, 2021-268"
"Powell, 2021",270,UNVAC,255,189833,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Powell, 2021-270"
"Powell, 2021",271,UNVAC,255,34338,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Powell, 2021-271"
"Prunas, 2022",274,UNVAC,9021,137293,14yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Prunas, 2022-274"
"Reis, 2021",276,UNVAC,400,56997,12-18yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Reis, 2021-276"
"Reis, 2021",277,UNVAC,818,46384,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,RC,"Reis, 2021-277"
"Reis, 2021",278,UNVAC,84,57803,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,RC,"Reis, 2021-278"
"Reis, 2021",279,UNVAC,151,47194,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,RC,"Reis, 2021-279"
"Shrotri, 2021",294,UNVAC,723,15392,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"Shrotri, 2021-294"
"Skowronski, 2021a",296,UNVAC,475,4542,70,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021a-296"
"Skowronski, 2021b",298,UNVAC,5258,40616,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021b-298"
"Skowronski, 2021b",301,UNVAC,547,40616,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,CC,"Skowronski, 2021b-301"
"Tartof, 2021",321,UNVAC,994,2290189,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,RC,"Tartof, 2021-321"
"Tartof, 2021",323,UNVAC,92,2290189,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,RC,"Tartof, 2021-323"
"Thompson, 2022",325,UNVAC,14272,37400,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Thompson, 2022-325"
