,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,,,,,,,,,,,,,,,,,,,,
d[1],0,0,0,0,0,0,0,1,1,,1,2,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
d[2],0.554905399,0.840368145,-1.379815442,0.16459252,0.629322741,1.056425321,2.044170779,1.004198323,540,1,-,1.741776204,0.251624988,7.722752011,,,,,,,,,,,,,,,
d[3],-2.029276976,0.498877493,-3.03359807,-2.330033091,-2.016748252,-1.701845317,-1.101582082,1.001999482,2400,2,,-,,,,,,,,,,,,,,,,,
d[4],-1.936993586,0.582332974,-3.208904307,-2.272914864,-1.896806407,-1.546135111,-0.903166393,1.001904156,1400,3,,,-,,,,,,,,,,,,,,,,
d[5],-0.611163263,0.793091693,-2.418199393,-1.081773246,-0.52196869,-0.053980741,0.726421326,1.002919048,890,4,,,,,,,,,,,,,,,,,,,
d[6],-0.695551319,1.202723371,-3.136226664,-1.452360153,-0.67841431,0.067721552,1.663130864,1.000762114,3000,5,,,,,,,,,,,,,,,,,,,
d[7],-1.564163921,0.892069059,-3.560774915,-2.00730786,-1.497423439,-1.027585523,0.003968287,1.001916561,2000,6,,,,,,,,,,,,,,,,,,,
d[8],-0.686229531,0.908305829,-2.657227696,-1.209209459,-0.615548996,-0.098971249,0.918952141,1.007322634,300,7,,,,,,,,,,,,,,,,,,,
d[9],-0.618312831,0.752717218,-2.306440977,-1.040519328,-0.561751715,-0.140457935,0.696295868,1.001943728,3000,8,,,,,,,,,,,,,,,,,,,
d[10],-0.780571527,0.530566183,-1.840989011,-1.110026472,-0.77008998,-0.435048535,0.27844959,1.001911079,1400,9,,,,,,,,,,,,,,,,,,,
d[11],-0.866162002,0.640319954,-2.213966937,-1.242589194,-0.850044641,-0.466963933,0.331148791,1.001821204,1500,10,,,,,,,,,,,,,,,,,,,
d[12],-0.54354477,0.60742049,-1.821669864,-0.898597853,-0.51954865,-0.14618134,0.597240378,1.002838663,920,11,,,,,,,,,,,,,,,,,,,
d[13],-0.190269,0.896491521,-2.204304333,-0.652995746,-0.134219518,0.342157454,1.390782262,1.001995552,1400,12,,,,,,,,,,,,,,,,,,,
d[14],-2.351205879,1.061802594,-4.470141258,-3.017014342,-2.341635043,-1.671195155,-0.26061511,1.001527747,2500,13,,,,,,,,,,,,,,,,,,,
d[15],-3.799430312,2.426394043,-8.333976933,-5.407866828,-3.847299982,-2.331931638,1.069365039,1.000859393,3000,14,,,,,,,,,,,,,,,,,,,
d[16],-3.075156636,1.219166486,-5.505628608,-3.84060125,-3.107729001,-2.317112351,-0.566523106,1.00083072,3000,15,,,,,,,,,,,,,,,,,,,
d[17],-3.310636227,2.236754345,-7.784106799,-4.687088969,-3.282820198,-1.875650244,1.109461663,1.002896052,840,16,,,,,,,,,,,,,,,,,,,
deviance,847.6136604,14.76035608,820.3978412,837.289943,846.8204816,857.0925553,877.9882155,1.003504897,670,17,,,,,,,,,,,,,,,,,,,
"lor[1,2]",0.554905399,0.840368145,-1.379815442,0.16459252,0.629322741,1.056425321,2.044170779,1.004198323,540,,,,,,,,,,,,,,,,,,,,
"lor[1,3]",-2.029276976,0.498877493,-3.03359807,-2.330033091,-2.016748252,-1.701845317,-1.101582082,1.001999482,2400,,,,,,,,,,,,,,,,,,,,
"lor[2,3]",-2.584182375,0.823479331,-4.2001642,-3.009498452,-2.638738461,-2.205126563,-0.714639083,1.006787038,320,,,,,,,,,,,,,,,,,,,,
"lor[1,4]",-1.936993586,0.582332974,-3.208904307,-2.272914864,-1.896806407,-1.546135111,-0.903166393,1.001904156,1400,,,,,,,,,,,,,,,,,,,,
"lor[2,4]",-2.491898986,0.825321667,-4.164806137,-2.905248147,-2.506107133,-2.07510744,-0.72316249,1.006478434,340,,,,,,,,,,,,,,,,,,,,
"lor[3,4]",0.092283389,0.627937993,-1.28190773,-0.24417062,0.12536737,0.473900614,1.254739904,1.001884005,1400,,,,,,,,,,,,,,,,,,,,
"lor[1,5]",-0.611163263,0.793091693,-2.418199393,-1.081773246,-0.52196869,-0.053980741,0.726421326,1.002919048,890,,,,,,,,,,,,,,,,,,,,
"lor[2,5]",-1.166068663,0.855903522,-3.314263654,-1.545082093,-1.023462374,-0.696695745,0.318048049,1.001450614,2100,,,,,,,,,,,,,,,,,,,,
"lor[3,5]",1.418113712,0.746239667,-0.331808796,1.015979918,1.525079745,1.927207861,2.612927816,1.005353081,420,,,,,,,,,,,,,,,,,,,,
"lor[4,5]",1.325830323,0.713366339,-0.293151862,0.928588794,1.404172685,1.803564995,2.509248539,1.003999198,570,,,,,,,,,,,,,,,,,,,,
"lor[1,6]",-0.695551319,1.202723371,-3.136226664,-1.452360153,-0.67841431,0.067721552,1.663130864,1.000762114,3000,,,,,,,,,,,,,,,,,,,,
"lor[2,6]",-1.250456718,1.458814126,-4.019690858,-2.166331134,-1.293921528,-0.407379108,1.788769017,1.002029281,1300,,,,,,,,,,,,,,,,,,,,
"lor[3,6]",1.333725657,1.294632638,-1.151757353,0.510637925,1.316454367,2.153744864,3.938700995,1.000883118,3000,,,,,,,,,,,,,,,,,,,,
"lor[4,6]",1.241442267,1.333846341,-1.278003339,0.367459314,1.218178219,2.092024871,4.039881674,1.000525115,3000,,,,,,,,,,,,,,,,,,,,
"lor[5,6]",-0.084388055,1.432165443,-2.789173652,-1.031711816,-0.128332351,0.766342124,2.954396942,1.001102648,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,7]",-1.564163921,0.892069059,-3.560774915,-2.00730786,-1.497423439,-1.027585523,0.003968287,1.001916561,2000,,,,,,,,,,,,,,,,,,,,
"lor[2,7]",-2.11906932,0.938740898,-4.109971547,-2.54032781,-2.120517745,-1.694849908,-0.069266932,1.001197565,2900,,,,,,,,,,,,,,,,,,,,
"lor[3,7]",0.465113055,0.864760904,-1.439751173,0.031171401,0.521263933,0.937124562,2.136941037,1.004065928,870,,,,,,,,,,,,,,,,,,,,
"lor[4,7]",0.372829666,0.866166864,-1.436618599,-0.092907212,0.384322666,0.864489408,2.097622088,1.0032433,730,,,,,,,,,,,,,,,,,,,,
"lor[5,7]",-0.953000657,0.893048957,-2.437186251,-1.468738527,-1.058823707,-0.534534869,1.120842791,1.003400297,2300,,,,,,,,,,,,,,,,,,,,
"lor[6,7]",-0.868612602,1.507077214,-4.088825104,-1.743513977,-0.797308386,0.107980388,1.954074313,1.001193889,2900,,,,,,,,,,,,,,,,,,,,
"lor[1,8]",-0.686229531,0.908305829,-2.657227696,-1.209209459,-0.615548996,-0.098971249,0.918952141,1.007322634,300,,,,,,,,,,,,,,,,,,,,
"lor[2,8]",-1.24113493,0.943223453,-3.199321234,-1.708416709,-1.249901056,-0.78446667,0.858237122,1.001999564,2100,,,,,,,,,,,,,,,,,,,,
"lor[3,8]",1.343047445,0.881069834,-0.609111129,0.880140242,1.399186901,1.862298827,3.000124481,1.011420588,200,,,,,,,,,,,,,,,,,,,,
"lor[4,8]",1.250764056,0.873228865,-0.456485681,0.744741205,1.252309753,1.743787195,3.048913092,1.012089522,190,,,,,,,,,,,,,,,,,,,,
"lor[5,8]",-0.075066267,0.91155602,-1.631726257,-0.620461269,-0.191279045,0.370885961,1.973100359,1.004179367,550,,,,,,,,,,,,,,,,,,,,
"lor[6,8]",0.009321788,1.498330876,-3.160826111,-0.898882402,0.041048251,0.986870127,2.843098264,1.003673792,630,,,,,,,,,,,,,,,,,,,,
"lor[7,8]",0.87793439,0.985970319,-1.202495594,0.36976791,0.868376038,1.392716826,2.913420387,1.003092713,890,,,,,,,,,,,,,,,,,,,,
"lor[1,9]",-0.618312831,0.752717218,-2.306440977,-1.040519328,-0.561751715,-0.140457935,0.696295868,1.001943728,3000,,,,,,,,,,,,,,,,,,,,
"lor[2,9]",-1.173218231,0.816112957,-2.946264916,-1.570613213,-1.157313532,-0.768124194,0.533153892,1.005898359,550,,,,,,,,,,,,,,,,,,,,
"lor[3,9]",1.410964145,0.727111498,-0.18813714,1.030809283,1.462203309,1.83112446,2.771388044,1.001328402,3000,,,,,,,,,,,,,,,,,,,,
"lor[4,9]",1.318680755,0.73887172,-0.26422304,0.912462892,1.333031492,1.736209216,2.834337835,1.001852878,1600,,,,,,,,,,,,,,,,,,,,
"lor[5,9]",-0.007149568,0.770096558,-1.399624652,-0.456050188,-0.089653006,0.37251675,1.691734522,1.002960113,810,,,,,,,,,,,,,,,,,,,,
"lor[6,9]",0.077238488,1.421980593,-2.873574485,-0.781951836,0.125027166,1.001913433,2.786558621,1.000901647,3000,,,,,,,,,,,,,,,,,,,,
"lor[7,9]",0.945851089,0.888775875,-0.968401726,0.51134997,0.960088186,1.420043571,2.749976559,1.001313084,2500,,,,,,,,,,,,,,,,,,,,
"lor[8,9]",0.0679167,0.891490896,-1.848148736,-0.420806862,0.084496205,0.547938308,1.892234252,1.007023462,310,,,,,,,,,,,,,,,,,,,,
"lor[1,10]",-0.780571527,0.530566183,-1.840989011,-1.110026472,-0.77008998,-0.435048535,0.27844959,1.001911079,1400,,,,,,,,,,,,,,,,,,,,
"lor[2,10]",-1.335476926,0.917755422,-3.007897583,-1.855956316,-1.400985119,-0.869031519,0.736785433,1.001812186,1500,,,,,,,,,,,,,,,,,,,,
"lor[3,10]",1.248705449,0.629543408,-0.007946128,0.868382147,1.240536466,1.624853098,2.515896573,1.003228192,730,,,,,,,,,,,,,,,,,,,,
"lor[4,10]",1.156422059,0.710277666,-0.11025046,0.704729733,1.11394798,1.56818109,2.730737069,1.003498921,670,,,,,,,,,,,,,,,,,,,,
"lor[5,10]",-0.169408263,0.84713713,-1.602932577,-0.741836629,-0.279788872,0.318578625,1.82614648,1.001719309,1600,,,,,,,,,,,,,,,,,,,,
"lor[6,10]",-0.085020208,1.294577655,-2.679351057,-0.897317548,-0.074739657,0.764692211,2.492872031,1.002055123,2900,,,,,,,,,,,,,,,,,,,,
"lor[7,10]",0.783592394,0.969813972,-1.128377831,0.215746983,0.734758885,1.286190145,2.919756372,1.000599909,3000,,,,,,,,,,,,,,,,,,,,
"lor[8,10]",-0.094341996,0.9830087,-1.925819222,-0.670922359,-0.136629311,0.41741153,2.113937853,1.004576729,640,,,,,,,,,,,,,,,,,,,,
"lor[9,10]",-0.162258696,0.843484477,-1.678567311,-0.68454374,-0.217550673,0.294909438,1.793674186,1.000898529,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,11]",-0.866162002,0.640319954,-2.213966937,-1.242589194,-0.850044641,-0.466963933,0.331148791,1.001821204,1500,,,,,,,,,,,,,,,,,,,,
"lor[2,11]",-1.421067401,1.005494755,-3.374336876,-1.988791316,-1.485073047,-0.912594892,0.830765341,1.001683721,1700,,,,,,,,,,,,,,,,,,,,
"lor[3,11]",1.163114974,0.734288412,-0.27964376,0.710064793,1.151752541,1.586606804,2.701954261,1.002724739,900,,,,,,,,,,,,,,,,,,,,
"lor[4,11]",1.070831585,0.788468852,-0.336781035,0.563464683,1.046957211,1.511302681,2.776899949,1.003568781,650,,,,,,,,,,,,,,,,,,,,
"lor[5,11]",-0.254998738,0.931513382,-1.795058582,-0.85487209,-0.374903486,0.229950697,1.949331902,1.002051839,1400,,,,,,,,,,,,,,,,,,,,
"lor[6,11]",-0.170610683,1.35981237,-2.881103354,-1.048041016,-0.180931861,0.708354351,2.528376279,1.001330645,2400,,,,,,,,,,,,,,,,,,,,
"lor[7,11]",0.698001919,1.039123844,-1.305777015,0.096529697,0.648457556,1.224219478,2.957545459,1.000596684,3000,,,,,,,,,,,,,,,,,,,,
"lor[8,11]",-0.179932471,1.04984455,-2.233351353,-0.813762542,-0.230757448,0.384039819,2.072482899,1.003093784,770,,,,,,,,,,,,,,,,,,,,
"lor[9,11]",-0.247849171,0.90197241,-1.924693766,-0.814957149,-0.311882049,0.2583107,1.698437051,1.00161151,3000,,,,,,,,,,,,,,,,,,,,
"lor[10,11]",-0.085590475,0.775586533,-1.675243806,-0.532155668,-0.088179361,0.379168331,1.435962128,1.000560425,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,12]",-0.54354477,0.60742049,-1.821669864,-0.898597853,-0.51954865,-0.14618134,0.597240378,1.002838663,920,,,,,,,,,,,,,,,,,,,,
"lor[2,12]",-1.09845017,0.821984277,-2.760298285,-1.496487132,-1.10804564,-0.757242628,0.761808702,1.001279181,2600,,,,,,,,,,,,,,,,,,,,
"lor[3,12]",1.485732205,0.645182445,0.067910779,1.153174047,1.509075346,1.85845157,2.689080943,1.005200282,460,,,,,,,,,,,,,,,,,,,,
"lor[4,12]",1.393448816,0.662708801,0.085507295,1.006065812,1.385963146,1.75294173,2.758981369,1.004516218,510,,,,,,,,,,,,,,,,,,,,
"lor[5,12]",0.067618493,0.739926255,-1.114992315,-0.366524231,-0.052155217,0.423767848,1.78421709,1.001184715,3000,,,,,,,,,,,,,,,,,,,,
"lor[6,12]",0.152006549,1.350252819,-2.601546589,-0.693276383,0.163162084,1.003555887,2.85180769,1.001172996,3000,,,,,,,,,,,,,,,,,,,,
"lor[7,12]",1.02061915,0.855310613,-0.759068476,0.578490321,1.002958035,1.436376951,2.899219926,1.000625623,3000,,,,,,,,,,,,,,,,,,,,
"lor[8,12]",0.14268476,0.851773625,-1.576227686,-0.333999249,0.127365992,0.58767309,1.980183024,1.003853493,600,,,,,,,,,,,,,,,,,,,,
"lor[9,12]",0.074768061,0.7613318,-1.417186753,-0.31681458,0.052149165,0.433650748,1.670673826,1.002674885,1600,,,,,,,,,,,,,,,,,,,,
"lor[10,12]",0.237026757,0.708666974,-1.306420243,-0.152218765,0.269898155,0.673610678,1.515399099,1.002909486,3000,,,,,,,,,,,,,,,,,,,,
"lor[11,12]",0.322617231,0.795464546,-1.367899151,-0.129993055,0.345891938,0.821734788,1.821121056,1.001035149,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,13]",-0.190269,0.896491521,-2.204304333,-0.652995746,-0.134219518,0.342157454,1.390782262,1.001995552,1400,,,,,,,,,,,,,,,,,,,,
"lor[2,13]",-0.745174399,0.924530662,-2.637703802,-1.188955243,-0.750588848,-0.304512178,1.197631822,1.001795367,1500,,,,,,,,,,,,,,,,,,,,
"lor[3,13]",1.839007976,0.865195772,-0.024218708,1.408345058,1.906778141,2.302784426,3.451587531,1.003973786,690,,,,,,,,,,,,,,,,,,,,
"lor[4,13]",1.746724586,0.861292826,0.032553024,1.289768143,1.749454922,2.200756025,3.507460541,1.003282347,1200,,,,,,,,,,,,,,,,,,,,
"lor[5,13]",0.420894263,0.904456904,-1.171831085,-0.088690408,0.306573499,0.861463519,2.4131373,1.000565755,3000,,,,,,,,,,,,,,,,,,,,
"lor[6,13]",0.505282319,1.505503821,-2.63568438,-0.417958086,0.543174165,1.457237562,3.325128912,1.000851046,3000,,,,,,,,,,,,,,,,,,,,
"lor[7,13]",1.373894921,0.970390967,-0.658859217,0.910522226,1.378785627,1.871263649,3.26785357,1.001354567,2300,,,,,,,,,,,,,,,,,,,,
"lor[8,13]",0.495960531,0.974203382,-1.42133899,-0.02306506,0.495762491,1.003901669,2.478150331,1.00457379,490,,,,,,,,,,,,,,,,,,,,
"lor[9,13]",0.428043831,0.871772635,-1.229773985,-0.032187511,0.38580635,0.860230774,2.30621695,1.002082221,1300,,,,,,,,,,,,,,,,,,,,
"lor[10,13]",0.590302527,0.9738079,-1.547541975,0.106345828,0.649758824,1.145791818,2.371056952,1.001414759,2200,,,,,,,,,,,,,,,,,,,,
"lor[11,13]",0.675893002,1.029941159,-1.562987816,0.136524658,0.73572101,1.283495855,2.537227139,1.001676459,1700,,,,,,,,,,,,,,,,,,,,
"lor[12,13]",0.35327577,0.855789204,-1.480047258,-0.045729662,0.360884253,0.790952745,2.06612229,1.001004478,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,14]",-2.351205879,1.061802594,-4.470141258,-3.017014342,-2.341635043,-1.671195155,-0.26061511,1.001527747,2500,,,,,,,,,,,,,,,,,,,,
"lor[2,14]",-2.906111278,1.187606932,-5.302844697,-3.595619789,-2.895124461,-2.208624649,-0.560896681,1.001691001,1700,,,,,,,,,,,,,,,,,,,,
"lor[3,14]",-0.321928903,1.042626844,-2.453911614,-0.934163805,-0.307676055,0.339891197,1.663283472,1.002705959,1200,,,,,,,,,,,,,,,,,,,,
"lor[4,14]",-0.414212292,1.057796853,-2.522106832,-1.078693327,-0.420098557,0.250722933,1.674122069,1.001188443,2900,,,,,,,,,,,,,,,,,,,,
"lor[5,14]",-1.740042615,1.068725228,-3.858135489,-2.423515408,-1.7489832,-1.06684003,0.36996363,1.001217242,3000,,,,,,,,,,,,,,,,,,,,
"lor[6,14]",-1.65565456,1.603231462,-4.932533518,-2.689605958,-1.650266446,-0.598825132,1.464335282,1.000669627,3000,,,,,,,,,,,,,,,,,,,,
"lor[7,14]",-0.787041958,1.227344977,-3.372203014,-1.541149744,-0.758418799,-0.034875954,1.662884185,1.00177375,2900,,,,,,,,,,,,,,,,,,,,
"lor[8,14]",-1.664976348,1.239726224,-4.266738188,-2.401903927,-1.649470467,-0.874045369,0.7090645,1.0036677,630,,,,,,,,,,,,,,,,,,,,
"lor[9,14]",-1.732893048,1.13164722,-4.109301989,-2.443856471,-1.703824248,-1.025426093,0.528419691,1.001309189,2500,,,,,,,,,,,,,,,,,,,,
"lor[10,14]",-1.570634352,1.124804454,-3.884670501,-2.245986864,-1.543619041,-0.845521439,0.548905599,1.001296388,2600,,,,,,,,,,,,,,,,,,,,
